decade_end,country_reg_ship,fate,count
1530,Spain,Not captured,3
1540,Portugal,Not captured,1
1540,Spain,Not captured,1
1570,Great Britain,Not captured,13
1570,Portugal,Not captured,1
1570,Spain,Not captured,1
1590,France,Not captured,2
1590,Portugal,Not captured,2
1600,Portugal,Not captured,127
1600,Spain,Not captured,17
1610,Netherlands,Not captured,1
1610,Portugal,Not captured,71
1620,Portugal,Not captured,71
1620,Spain,Not captured,35
1630,Portugal,Not captured,114
1630,Spain,Not captured,23
1640,Netherlands,Not captured,30
1640,Portugal,Not captured,60
1640,Spain,Not captured,13
1650,Other,Not captured,3
1650,France,Not captured,2
1650,Other,Not captured,1
1650,Great Britain,Not captured,35
1650,Netherlands,Not captured,78
1650,Portugal,Not captured,4
1650,Spain,Not captured,1
1650,Other,Not captured,1
1660,France,Not captured,1
1660,Great Britain,Not captured,9
1660,Netherlands,Not captured,6
1660,Portugal,Not captured,5
1660,Spain,Not captured,3
1660,USA,Not captured,1
1670,France,Not captured,3
1670,Great Britain,Not captured,106
1670,Netherlands,Not captured,4
1680,France,Not captured,19
1680,Great Britain,Not captured,147
1680,Netherlands,Not captured,41
1680,Portugal,Not captured,5
1680,Spain,Not captured,2
1690,Other,Not captured,1
1690,France,Not captured,24
1690,Great Britain,Not captured,325
1690,Other,Not captured,10
1690,Netherlands,Not captured,82
1690,Portugal,Not captured,5
1690,Portugal,Not captured,2
1690,Spain,Not captured,1
1690,USA,Not captured,4
1700,Other,Not captured,5
1700,France,Not captured,12
1700,Great Britain,Not captured,242
1700,Other,Not captured,31
1700,Netherlands,Not captured,51
1700,Portugal,Not captured,8
1700,USA,Not captured,6
1710,Other,Not captured,3
1710,France,Not captured,30
1710,Great Britain,Not captured,484
1710,Other,Not captured,5
1710,Netherlands,Not captured,52
1710,Portugal,Not captured,1
1710,USA,Not captured,3
1720,Other,Not captured,2
1720,France,Not captured,171
1720,Great Britain,Not captured,591
1720,Other,Not captured,1
1720,Netherlands,Not captured,39
1720,Portugal,Not captured,8
1720,USA,Not captured,11
1730,Other,Not captured,7
1730,France,Not captured,192
1730,Great Britain,Not captured,666
1730,Netherlands,Not captured,52
1730,Portugal,Not captured,184
1730,USA,Not captured,17
1740,Other,Not captured,7
1740,France,Not captured,250
1740,Great Britain,Not captured,756
1740,Netherlands,Not captured,59
1740,Portugal,Not captured,177
1740,Portugal,Not captured,1
1740,USA,Not captured,45
1750,Other,Not captured,11
1750,France,Not captured,278
1750,Great Britain,Not captured,499
1750,Netherlands,Not captured,107
1750,Portugal,Not captured,310
1750,USA,Not captured,25
1760,Other,Not captured,25
1760,France,Not captured,214
1760,Great Britain,Not captured,765
1760,Netherlands,Not captured,119
1760,Portugal,Not captured,167
1760,Spain,Not captured,2
1760,USA,Not captured,121
1770,Other,Not captured,17
1770,France,Not captured,368
1770,Great Britain,Not captured,1174
1770,Netherlands,Not captured,186
1770,Portugal,Not captured,345
1770,Spain,Not captured,2
1770,USA,Not captured,178
1780,Other,Not captured,18
1780,France,Not captured,371
1780,Great Britain,Not captured,908
1780,Netherlands,Not captured,154
1780,Portugal,Not captured,202
1780,Spain,Not captured,1
1780,USA,Not captured,110
1790,Other,Not captured,47
1790,France,Not captured,688
1790,Great Britain,Not captured,800
1790,Netherlands,Not captured,36
1790,Portugal,Not captured,239
1790,Spain,Not captured,2
1790,USA,Not captured,67
1800,Other,Not captured,34
1800,France,Not captured,167
1800,Great Britain,Not captured,1055
1800,Other,Not captured,1
1800,Netherlands,Not captured,29
1800,Portugal,Not captured,410
1800,Portugal,Not captured,1
1800,Spain,Not captured,17
1800,Other,Not captured,4
1800,USA,Not captured,266
1810,Other,Not captured,2
1810,Other,Not captured,38
1810,France,Not captured,27
1810,Great Britain,Not captured,800
1810,Other,Not captured,4
1810,Netherlands,Not captured,5
1810,Portugal,Not captured,630
1810,Spain,Not captured,63
1810,Other,Not captured,7
1810,USA,Not captured,407
1820,France,Not captured,65
1820,Netherlands,Not captured,2
1820,Portugal,Not captured,168
1820,Portugal,Not captured,2
1820,Spain,Not captured,625
1820,Spain,Not captured,12
1820,Other,Not captured,1
1820,USA,Not captured,10
1830,Other,Not captured,139
1830,Other,Not captured,1
1830,France,Not captured,201
1830,Portugal,Not captured,147
1830,Spain,Not captured,153
1830,USA,Not captured,4
1840,Other,Not captured,1
1840,Other,Not captured,48
1840,France,Not captured,7
1840,Other,Not captured,1
1840,Portugal,Not captured,581
1840,Other,Not captured,1
1840,Spain,Not captured,185
1840,USA,Not captured,17
1840,Other,Not captured,7
1850,Other,Not captured,296
1850,Other,Not captured,3
1850,France,Not captured,11
1850,Other,Not captured,2
1850,Portugal,Not captured,61
1850,Other,Not captured,2
1850,Spain,Not captured,28
1850,USA,Not captured,29
1860,Other,Not captured,5
1860,Other,Not captured,1
1860,Portugal,Not captured,3
1860,Spain,Not captured,19
1860,USA,Not captured,34
1870,Spain,Not captured,2
1870,USA,Not captured,10
